platform,dataset,model,precision,latency_mean,latency_std,latency_median,latency_p95,latency_p5,energy_per_rep_kwh,energy_per_rep_uwh,accuracy_metric,accuracy_value,n_reps
broadwell_colab,olist,lightgbm,fp64,148.1501863199992,15.556775129561398,138.8608945001124,174.98404545003723,134.15338620011426,2.1608720207499855e-06,2.1608720207499856,roc_auc,0.7869172932330828,50
broadwell_colab,olist,lightgbm,fp32,143.30013099995995,13.040295835337705,136.43623300004037,170.91903184975763,134.17881320015113,2.0901685999305263e-06,2.0901685999305264,roc_auc,0.7869141604010026,50
broadwell_colab,olist,lightgbm,fp16,145.5043437400218,12.546331715578303,138.26389900009417,166.6411442000708,134.49992339985783,2.122311329625063e-06,2.122311329625063,roc_auc,0.7868700159489632,50
broadwell_colab,olist,lightgbm,bf16,145.40746196001237,12.361013310909275,138.33572499993352,168.31546955020258,134.35745404976842,2.1209256654999978e-06,2.120925665499998,roc_auc,0.7866146901344271,50
broadwell_colab,olist,lightgbm,int8,90.12738148003336,18.811670918660933,81.54544850003731,125.75869445004167,72.84980840024673,1.3147373657222123e-06,1.3147373657222123,roc_auc,0.5324556419457736,50
broadwell_colab,olist,xgboost,fp64,48.94172014001924,17.668645244206004,43.06475949988453,85.04889164998977,42.50501490018905,7.143971864027839e-07,0.7143971864027839,roc_auc,0.7838882718159034,50
broadwell_colab,olist,xgboost,fp32,44.881679400014036,4.637321894567889,43.11104100020202,49.029722299951565,42.358216700245066,6.549054890972079e-07,0.6549054890972079,roc_auc,0.7838882718159034,50
broadwell_colab,olist,xgboost,fp16,46.88241539998671,8.198628307175438,43.18538949996764,67.52024670017818,42.30388350015346,6.840343471944329e-07,0.6840343471944329,roc_auc,0.783619417862839,50
broadwell_colab,olist,xgboost,bf16,92.81805717999305,12.916040424165187,98.86212049991627,106.5646675501057,66.41625359995942,1.3540740876111387e-06,1.3540740876111388,roc_auc,0.7835748462064251,50
broadwell_colab,olist,xgboost,int8,67.26083004003158,49.05685296613768,43.41779950027558,175.67932895005924,42.29290860000674,9.812595644722188e-07,0.9812595644722188,roc_auc,0.5391255126452494,50
